Image,Cluster,SynthesisScore
imgB10AI.png,0,0.6542873
imgB11AI.png,1,0.63238865
imgB12AI.png,1,0.6647793
imgB13AI.png,3,0.6609975
imgB14AI.png,3,0.5657033
imgB15AI.png,1,0.74214697
imgB16AI.png,1,0.569893
imgB17AI.png,2,0.6922344
imgB18AI.png,3,0.7163596
imgB19AI.png,3,0.76347643
imgB1AI.png,3,0.7600315
imgB20AI.png,1,0.72443223
imgB21AI.png,4,0.7121659
imgB22AI.png,3,0.7387801
imgB23AI.png,1,0.75449425
imgB24AI.png,1,0.7982342
imgB25AI.png,0,0.56913304
imgB2AI.png,4,0.6718146
imgB3AI.png,0,0.7081306
imgB4AI.png,3,0.7413961
imgB5AI.png,4,0.5578639
imgB6AI.png,4,0.5944947
imgB7AI.png,2,0.7547531
imgB8AI.png,1,0.75730544
imgB9AI.png,4,0.7021601
