Image,Cluster,SynthesisScore
img10AI.png,0,0.64879906
img11AI.png,1,0.7021971
img12AI.png,1,0.6567426
img13AI.png,3,0.7003248
img14AI.png,3,0.5796681
img15AI.png,1,0.69356865
img16AI.png,1,0.57918376
img17AI.png,2,0.70262474
img18AI.png,3,0.74431884
img19AI.png,3,0.7928896
img1AI.png,3,0.7216611
img20AI.png,1,0.74114335
img21AI.png,4,0.6425781
img22AI.png,3,0.7088128
img23AI.png,4,0.7365683
img24AI.png,1,0.75804806
img25AI.png,1,0.6186799
img2AI.png,4,0.62505805
img3AI.png,0,0.67213166
img4AI.png,3,0.7535999
img5AI.png,4,0.50141394
img6AI.png,3,0.5828696
img7AI.png,2,0.73335373
img8AI.png,1,0.78870225
img9AI.png,4,0.71300995
